freq,indic_il,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MED_E,EUR,ED0-2,F,Y_GE18,EA18	: 	: 	12022 	12207 	12476 	13698 	14047 	14167 	13997 	14184 	14065 	13681 	13802 	14039 	14496 	14737 	15091 	15966 b	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,EA19	: 	: 	11958 	12146 	12414 	13635 	13980 	14099 	13928 	14118 	14002 	13631 	13754 	13994 	14451 	14694 	15049 	15928 b	15757 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13561 	13634 	13877 	14335 	14584 	14942 	15825 	15680 	16051 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,EE	: 	1864 	2187 	2638 	3068 	3451 	4106 	4161 	4042 	4200 	4673 	4896 b	5177 	5566 	5864 	6326 	7003 	7875 	8568 	9104 	9805 
A,MED_E,EUR,ED0-2,F,Y_GE18,EL	6748 	7187 	7716 	8153 	8565 	9283 	9670 	9940 	8794 	8141 	7229 	6570 	6640 	6656 	6758 	6833 	7000 	7357 	7200 	7760 	8040 
A,MED_E,EUR,ED0-2,F,Y_GE18,ES	: 	8724 	8932 	9562 	10160 	12253 b	12972 	12804 	12088 	12140 	11817 	11218 	11278 	11439 	11754 	12027 	12644 	13365 	13161 	13861 	15106 
A,MED_E,EUR,ED0-2,F,Y_GE18,EU	: 	: 	: 	: 	: 	12070 e	12366 e	12422 e	12427 e	12661 e	12510 e	12790 e	12810 e	12975 e	13018 e	13467 e	13822 e	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,EU27_2007	: 	: 	10602 e	10894 e	11169 	12070 	12366 	12490 	12508 	12739 	12588 	12869 	12888 	13050 	13098 	13543 	13896 e	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,EU27_2020	: 	: 	: 	: 	: 	: 	: 	12360 e	12349 e	12454 e	12327 e	12176 e	12149 e	12354 e	12916 e	13224 e	13602 e	14446 b	14408 	14871 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,EU28	: 	: 	: 	: 	: 	: 	: 	12422 	12427 	12661 	12510 	12790 	12810 	12975 	13018 	13467 	13822 e	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,FI	: 	13556 	13863 	14191 	14511 	14885 	15743 	16478 	16611 	17068 	17740 	17939 	18471 	18361 	18644 	18319 	18256 	18636 	18893 	19094 	20153 
A,MED_E,EUR,ED0-2,F,Y_GE18,FR	: 	13152 	13562 	13841 	14360 	16556 	16817 	16891 	17260 b	17761 	17766 	17782 	17883 	18515 	18889 	19196 	18757 	18549 b	18378 	18390 b	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,HR	: 	: 	: 	: 	: 	: 	: 	4206 	3963 	3958 	3894 	3903 	3958 	4180 	4396 	4641 	5047 	5392 	5230 	5707 	6199 b
A,MED_E,EUR,ED0-2,F,Y_GE18,HU	: 	: 	3078 	3145 	3366 	3767 	4055 	3565 	3639 	3708 	3608 	3593 	3628 	3824 	3982 	4186 	4547 	4720 	4689 	5484 	5254 
A,MED_E,EUR,ED0-2,F,Y_GE18,IE	12730 	13292 	13799 	14891 	16359 	17341 	16837 	16742 	16203 	15855 	15997 	15966 	16366 	16517 	17084 	18018 	18682 	19731 b	20313 	20308 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,IS	: 	20634 	21837 	26196 	26117 	29590 	20023 	16726 	17484 	17836 	19340 	20505 	22315 	26033 	31345 	36439 	34027 	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,IT	: 	11926 	12357 	12484 	12697 	13218 	13256 	13762 	13629 	13897 	13650 	13701 	13716 	13847 	14258 	14363 	14665 	14978 	15000 	15101 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,LT	: 	: 	1563 	1762 	2202 	2686 	3299 	3250 	3080 	3120 	3331 	3451 	3486 	3611 	3622 	4091 	4952 	5582 	6101 	6567 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,LU	23532 	24759 	25449 	25735 	25923 	27001 	27581 	28316 	28344 	27956 	27851 	29157 	29853 	28884 b	30995 	29643 	30842 	30741 b	32883 b	34821 b	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,LV	: 	: 	1511 	1634 	2176 	2661 	3127 	3235 	3199 	3199 	3321 	3421 	3651 	4036 	4099 	4355 	4595 	5118 	5613 	5736 	7421 
A,MED_E,EUR,ED0-2,F,Y_GE18,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2312 	2400 	2400 	2380 	2640 	2850 	2784 	3057 	2923 	3345 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	1461 	1556 	1625 	1744 	1762 	1937 	1984 	2074 	2333 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,MT	: 	: 	8013 	8420 	8530 	9028 	9475 	9460 	9615 	10106 	10330 	10690 	10990 	10850 	11582 	11636 	12074 	13391 	13565 	14246 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,NL	: 	: 	14857 	15092 	15501 	16377 	17134 	17184 	17263 	17544 	17795 	17528 	17561 	18092 b	18687 	19171 	19653 	20438 	21127 	21853 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,NO	20812 	20053 	19194 	22774 	24144 	26490 	27431 	26910 	29989 	32478 	35435 	35723 	33163 	31574 	31306 	31824 	31300 	33013 	30426 b	33656 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,PL	: 	: 	2202 	2603 	2926 	3404 	3967 	3399 	3860 	3986 	4088 	4196 	4299 	4531 	4615 	4948 	5307 	5787 	6380 	7184 	: 
